id,unitgroup_id,code,name
181,67,22124,Internal medicine physician
182,67,22125,Medical oncologist
183,67,22126,Paediatrician
184,67,22127,Respiratory physician
185,67,22128,Psychiatrist
186,67,22129,"Other specialist medical practitioners (medical) (e.g. endocrinologist, geriatrician, haematologist, infectious diseases physician, neurologist, nuclear medicine physician, rehabilitation physician, renal physician, rheumatologist)"
187,68,22131,General surgeon
188,68,22132,Cardiothoracic surgeon
189,68,22133,Hand surgeon
190,68,22134,Neurosurgeon
191,68,22135,Orthopaedic surgeon
192,68,22136,Paediatric surgeon
193,68,22137,Plastic surgeon
194,68,22138,Urologist
195,68,22139,Other specialist medical practitioners (surgical)
196,69,22141,Anaesthesiologist
197,69,22142,Diagnostic radiologist
198,69,22143,Emergency physician
199,69,22144,Obstetrician/Gynaecologist
200,69,22145,Ophthalmologist
201,69,22146,Pathologist
202,69,22147,Public health physician
203,69,22148,"Otorhinolaryngologist/Ear, nose, throat (ENT) specialist"
204,70,22150,"Other specialist medical practitioner (other specialisations) (e.g. occupational physician, radiation oncologist)"
205,71,22200,"Registered nurse and other nursing professionals (e.g. clinical nurse, nurse educator, excluding enrolled nurse)"
206,72,22301,Traditional Chinese medicine practitioner
207,72,22302,Traditional Chinese medicine acupuncturist
208,73,22500,Veterinarian
209,74,22611,General dental practitioner
210,74,22612,Specialised dentist (e.g. orthodontist)
211,75,22621,Pharmacist (patient care)
212,75,22629,Other pharmacists
213,76,22631,Occupational health and safety professional
214,76,22632,Environmental officer (public health)
215,76,22639,Other environmental and occupational health and hygiene professionals
216,77,22640,Physiotherapist
217,78,22651,Dietitian
218,78,22652,Nutritionist
219,79,22661,Audiologist
220,79,22662,Speech therapist
221,80,22670,Optometrist
222,81,22680,Occupational therapist
223,82,22691,Chiropractor
224,82,22692,Podiatrist
225,82,22693,Medical diagnostic radiographer
226,82,22694,Radiation therapist
227,82,22699,Other health professionals n.e.c.
228,83,23101,University lecturer
229,83,23102,Polytechnic lecturer
230,83,23103,Teaching assistant/Tutor in university
231,83,23109,"Other university, polytechnic and higher education teachers"
232,84,23200,Junior college and pre-university teacher (including integrated programme year 5-6 teacher)
233,85,23300,Technical/Vocational/Commercial education institute teacher and trainer
234,86,23400,Secondary school teacher (including integrated programme year 1-4 teacher)
235,87,23500,Primary school teacher
236,88,23611,Education methods adviser
237,88,23612,Instructional designer and technologist
238,88,23619,Other education methods specialists
239,89,23621,Teacher of the visually impaired
240,89,23622,Early intervention teacher for infants and children
241,89,23629,Other special education teachers
242,90,23690,Other teaching professional n.e.c.
243,91,24111,Accountant (excluding tax accountant)
244,91,24112,Auditor (accounting)
245,91,24113,Tax accountant
246,92,24121,Financial/Investment adviser (e.g. relationship manager)
247,92,24122,Business valuer
248,93,24131,"Financial analyst (e.g. equities analyst, credit analyst, investment research analyst)"
249,93,24132,Compliance officer/Risk analyst (financial)
250,93,24133,Fund/Portfolio manager (including asset allocator)
251,93,24134,Treasury manager
252,93,24135,Financial product structurer
253,93,24139,Other financial analysts and related professionals
254,94,24141,Securities and finance dealer
255,94,24142,Foreign exchange dealer
256,94,24143,Financial derivatives dealer
257,94,24149,Other finance dealers
258,95,24151,Securities and finance broker
259,95,24152,Foreign exchange broker
260,95,24153,Financial derivatives broker
261,95,24154,Commodities and freight derivatives broker
262,95,24159,Other finance brokers
263,96,24160,Insurance underwriter
264,97,24211,Management consultant
265,97,24212,Business consultant
266,97,24213,Business and financial project management professional
267,98,24220,Policy administration professional (e.g. policy analyst)
268,99,24231,Human resource consultant (excluding executive search consultant)
269,99,24232,Executive search consultant
270,99,24233,Personnel/Human resource officer
271,99,24234,Industrial relations officer
272,100,24240,Training and staff development professional
273,101,24251,Intellectual property agent
274,101,24252,Intellectual property examiner
275,102,24291,Research officer (non-statistical)
276,102,24299,Other administration professionals n.e.c.
277,103,24311,Creative advertising professional
278,103,24312,Market research professional
279,103,24313,Marketing strategy/planning professional
280,103,24314,"Digital marketing professional (e.g. online, social media, e-commerce marketing professional)"
281,103,24315,Revenue specialist
282,104,24320,Public relations/Corporate communications professional
283,105,24331,Technical sales professional
284,105,24332,Medical and pharmaceutical products sales professional
285,105,24333,ICT sales and services professional
286,105,24334,Sales professionals (institutional sales of financial products)
287,105,24339,Other specialised goods sales professionals
288,106,24351,Commodities trader (excluding oil and bunker)
289,106,24352,Oil and bunker trader
290,106,24353,Ship charterer
291,107,24361,Trade broker
292,107,24362,Ship broker (e.g. charter or sales & purchase)
293,108,25111,Systems designer/analyst
294,108,25112,ICT business process consultant/business analyst
295,108,25113,Enterprise/Solution architect
296,109,25121,Software developer
297,109,25122,Web and mobile applications developer
298,109,25123,Multimedia (including games) developer
299,110,25140,Applications/Systems programmer
300,111,25151,ICT quality assurance specialist
301,111,25152,ICT auditor
302,112,25190,Software and applications developer and analyst n.e.c.
303,113,25211,Database administrator
304,113,25212,Database architect
305,114,25220,"Network, servers and computer systems administrator"
306,115,25231,Cloud specialist
307,115,25232,IT infrastructure specialist
308,115,25239,"Other computer network, infrastructure and platform professionals"
309,116,25241,Cyber risk specialist
310,116,25242,Penetration testing specialist
311,116,25243,Security operations specialist
312,116,25244,Digital forensics specialist
313,116,25245,Cybersecurity architect
314,116,25249,Other cybersecurity professionals
315,117,25291,Data centre engineer
316,117,25299,Database and network professionals n.e.c.
317,118,26111,Advocate/Solicitor (practising)
318,118,26112,"In-house legal counsel (except judiciary, ministries and statutory boards)"
319,118,26119,"Other lawyers (e.g. prosecutors, legal counsel in ministries and statutory boards)"
320,119,26120,Judge (including registrar in judiciary)
321,120,26191,Arbitrator and Mediator
322,120,26199,Other legal professionals n.e.c.
323,121,26211,Archivist
324,121,26212,Curator
325,121,26213,Conservator
326,122,26221,Librarian
327,122,26229,Other information professionals
328,123,26310,Economist
329,124,26321,Sociologist and Anthropologist
330,124,26322,Social science researcher
331,125,26331,Political scientist
332,125,26339,Other social science professionals (e.g. philosopher)
333,126,26341,Clinical psychologist
334,126,26342,Educational psychologist
335,126,26343,Industrial and organisational psychologist
336,126,26349,Other psychologists
337,127,26351,Social worker (general)
338,127,26352,Youth work professional
339,127,26353,Medical social worker
340,127,26359,Other social service professionals
341,128,26361,Minister of religion
342,128,26369,Other religious professionals
343,129,26371,Counsellor (rehabilitation)
344,129,26372,Counsellor (drugs and alcohol)
345,129,26373,Counsellor (family)
346,129,26374,School counsellor
347,129,26375,Career coach (counselling)
348,129,26379,Other counselling professionals
349,130,26411,Author
350,130,26412,Script writer and editor
351,130,26413,Content writer
352,130,26414,Technical writer
353,130,26415,Book editor
354,130,26419,Other authors and related writers
355,131,26421,Journalist
356,131,26422,Editor (news and periodicals)
357,132,26431,Translator
358,132,26432,Interpreter
359,133,26511,Painter
360,133,26519,Other visual artists
361,134,26521,Instrumentalist
362,134,26522,Composer/Orchestrator
363,134,26523,Conductor/Director of orchestra/band/choir
364,134,26524,Singer
365,134,26529,"Other musicians, composers and singers"
366,135,26530,Dancer and Choreographer
367,136,26541,"Producer (stage, film, television, game, commercial, video and radio)"
368,136,26542,"Director (stage, film, television, game, commercial, video and radio)"
369,136,26543,"Artistic director (stage, film, television, game and radio)"
370,136,26544,"Editor (radio, television and video)"
371,136,26549,"Other film, stage and related directors and producers"
372,137,26550,Actor
373,138,26561,Radio and television presenter
374,138,26569,Other radio and television presenters and related professionals
375,139,31001,Assistant civil and structural engineer
376,139,31002,Assistant electrical engineer
377,139,31003,Assistant electronics engineer
378,139,31004,Assistant mechanical engineer
379,139,31005,Assistant chemical engineer
380,139,31006,Assistant manufacturing engineer
381,139,31009,Other assistant engineers
382,140,31111,Chemistry technician
383,140,31112,Physics technician
384,140,31119,Other chemical and physical science technicians
385,141,31121,Civil Engineering Technicians
386,141,31122,Building technician
387,141,31123,Land surveying technician
388,141,31124,Resident technical officer
